https://www.gutenberg.org/cache/epub/35/pg35-images.html,td a,tbody tr
https://www.gutenberg.org/cache/epub/1232/pg1232-images.html,tbody td a,tbody td a
https://www.gutenberg.org/cache/epub/219/pg219-images.html,tbody td a,tbody td a
