https://www.gutenberg.org/files/37106/37106-h/37106-h.htm,table:first-of-type td a[href],table:first-of-type tbody td:nth-child(2),hr.hr2
https://www.gutenberg.org/files/58585/58585-h/58585-h.htm,table:first-of-type td a[href],table:first-of-type td:nth-child(1),a[name]
https://www.gutenberg.org/files/55/55-h/55-h.htm,pre:nth-of-type(2) a,pre:nth-of-type(2) a,a[name]
https://www.gutenberg.org/files/174/174-h/174-h.htm,table:first-of-type td a,table:first-of-type td a,a[name]
https://www.gutenberg.org/files/4363/4363-h/4363-h.htm,table:first-of-type td a,table:first-of-type tr,a[name]
